Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,3
Proceso 2,2,4
Proceso 1,1,4
Proceso 4,4,5
Proceso 5,5,6
Proceso 3,3,8
Proceso 7,7,9
Proceso 6,6,9
Proceso 9,9,10
Proceso 11,11,13
Proceso 10,10,14
Proceso 8,8,15
Proceso 12,12,16
Proceso 17,17,20
Proceso 15,15,21
Proceso 18,18,22
Proceso 13,13,22
Proceso 19,19,23
Proceso 16,16,24
Proceso 21,21,25
Proceso 14,14,26
Proceso 23,23,27
Proceso 24,24,28
Proceso 26,26,30
Proceso 22,22,30
Proceso 27,27,31
Proceso 20,20,32
Proceso 25,25,32
Proceso 32,32,35
Proceso 29,29,36
Proceso 30,30,36
Proceso 31,31,37
Proceso 36,36,40
Proceso 33,33,41
Proceso 28,28,43
Proceso 35,35,43
Proceso 39,39,44
Proceso 40,40,44
Proceso 34,34,46
Proceso 44,44,48
Proceso 37,37,49
Proceso 46,46,51
Proceso 38,38,51
Proceso 43,43,53
Proceso 41,41,54
Proceso 45,45,55
Proceso 51,51,56
Proceso 42,42,56
Proceso 47,47,57
Proceso 48,48,64
Proceso 58,58,64
Proceso 49,49,65
Proceso 50,50,67
Proceso 60,60,67
Proceso 54,54,68
Proceso 61,61,68
Proceso 52,52,70
Proceso 57,57,71
Proceso 63,63,71
Proceso 64,64,72
Proceso 53,53,73
Proceso 59,59,74
Proceso 67,67,75
Proceso 55,55,76
Proceso 69,69,77
Proceso 62,62,78
Proceso 66,66,82
Proceso 68,68,84
Proceso 56,56,86
Proceso 80,80,89
Proceso 65,65,90
Proceso 84,84,93
Proceso 76,76,93
Proceso 77,77,94
Proceso 78,78,95
Proceso 70,70,96
Proceso 79,79,96
Proceso 71,71,97
Proceso 89,89,99
Proceso 90,90,101
Proceso 82,82,101
Proceso 75,75,102
Proceso 83,83,103
Proceso 74,74,103
Proceso 86,86,106
Proceso 96,96,108
Proceso 72,72,110
Proceso 88,88,111
Proceso 73,73,113
Proceso 81,81,113
Proceso 91,91,114
Proceso 85,85,116
Proceso 87,87,117
Proceso 97,97,118
Proceso 98,98,118
Proceso 92,92,119
Proceso 93,93,120
Proceso 94,94,120
Proceso 99,99,121
Proceso 95,95,122
